name,top,jg,mid,bot,sup
aatrox,5,0,0,0,0
ahri,4,0,5,0,0
akali,5,0,4,0,0
akshan,0,0,5,0,0
alistar,0,0,0,0,5
ambessa,5,4,0,0,0
amumu,0,5,0,0,4
anivia,0,0,5,0,0
annie,0,0,5,0,0
aphelios,0,0,0,5,0
ashe,0,0,0,5,0
aurelionsol,0,0,5,0,0
aurora,0,0,5,0,0
azir,0,0,5,0,0
bard,0,0,0,0,5
belveth,0,5,0,0,0
blitzcrank,0,0,0,0,5
brand,0,0,0,0,5
braum,0,0,0,0,5
briar,0,5,0,0,0
caitlyn,0,0,0,5,0
camille,5,0,0,0,0
cassiopeia,0,0,5,0,0
chogath,5,0,0,0,0
corki,0,0,5,0,0
darius,5,0,0,0,0
diana,0,5,4,0,0
drmundo,5,0,0,0,0
draven,0,0,0,5,0
ekko,0,0,5,0,0
elise,0,5,0,0,0
evelynn,0,5,0,0,0
ezreal,0,0,0,5,0
fiddlesticks,0,5,0,0,0
fiora,5,0,0,0,0
fizz,0,0,5,0,0
galio,0,0,5,0,0
gangplank,5,0,0,0,0
garen,5,0,0,0,0
gnar,5,0,0,0,0
gragas,5,0,4,0,0
graves,0,5,0,0,0
gwen,5,0,0,0,0
hecarim,0,5,0,0,0
heimerdinger,5,0,0,0,4
hwei,0,0,5,0,0
illaoi,5,0,0,0,0
irelia,5,0,4,0,0
ivern,0,5,0,0,0
janna,0,0,0,0,5
jarvaniv,3,5,0,0,4
jax,5,0,0,0,0
jayce,5,0,4,0,0
jhin,0,0,0,5,0
jinx,0,0,0,5,0
ksante,5,0,0,0,0
kaisa,0,0,0,5,0
kalista,0,0,0,5,0
karma,0,0,0,0,5
karthus,0,5,0,0,0
kassadin,0,0,5,0,0
katarina,0,0,5,0,0
kayle,5,0,4,0,0
kayn,0,5,0,0,0
kennen,5,0,0,0,0
khazix,0,5,0,0,0
kindred,0,5,0,0,0
kled,5,0,0,0,0
kogmaw,0,0,0,5,0
leblanc,0,0,5,0,0
leesin,0,5,0,0,0
leona,0,0,0,0,5
lillia,0,5,0,0,0
lissandra,0,0,5,0,0
lucian,0,0,0,5,0
lulu,0,0,0,0,5
lux,0,0,0,0,5
malphite,5,0,0,0,0
malzahar,0,0,5,0,0
maokai,4,3,0,0,5
masteryi,0,5,0,0,0
mel,0,0,0,0,5
milio,0,0,0,0,5
missfortune,0,0,3,4,0
mordekaiser,5,0,0,0,0
morgana,0,0,0,0,5
naafiri,0,0,5,0,0
nami,0,0,0,0,5
nasus,5,0,0,0,0
nautilus,0,0,0,0,5
neeko,5,0,0,0,4
nilah,0,0,0,5,0
nidalee,0,5,0,0,0
nocturne,0,5,0,0,0
nunu,0,5,0,0,0
olaf,5,0,0,0,0
orianna,0,0,5,0,0
ornn,5,0,0,0,0
pantheon,4,3,2,0,5
poppy,5,0,0,0,0
pyke,0,0,0,0,5
qiyana,0,0,5,0,0
quinn,5,0,0,0,0
rakan,0,0,0,0,5
rammus,0,5,0,0,0
reksai,0,5,0,0,0
rell,0,0,0,0,5
renata,0,0,0,0,5
renekton,5,0,0,0,0
rengar,5,0,0,0,0
riven,5,0,0,0,0
rumble,5,0,0,0,0
ryze,5,0,0,0,0
samira,0,0,0,5,0
sejuani,5,0,0,0,0
senna,0,0,0,5,0
seraphine,0,0,0,0,5
sett,5,0,0,0,0
shaco,0,5,0,0,0
shen,5,0,0,0,0
shyvana,5,0,0,0,0
singed,5,0,0,0,0
sion,5,0,0,0,0
sivir,0,0,0,5,0
skarner,0,5,0,0,0
smolder,0,0,5,0,0
sona,0,0,0,0,5
soraka,0,0,0,0,5
swain,5,0,4,0,0
sylas,0,0,5,0,0
syndra,0,0,5,0,0
tahmkench,5,0,0,0,0
taliyah,0,0,5,0,0
talon,0,0,5,0,0
taric,0,0,0,0,5
teemo,5,0,0,0,0
thresh,0,0,0,0,5
tristana,0,0,0,5,0
trundle,5,0,0,0,0
tryndamere,5,0,0,0,0
twistedfate,0,0,5,0,0
twitch,0,0,0,5,0
udyr,5,0,0,0,0
urgot,5,0,0,0,0
varus,0,0,0,5,0
vayne,0,0,0,5,0
veigar,0,0,5,0,0
velkoz,0,0,0,0,5
vex,0,0,5,0,0
vi,0,5,0,0,0
viego,0,5,0,0,0
viktor,0,0,5,0,0
vladimir,0,0,5,0,0
volibear,5,0,0,0,0
warwick,0,5,0,0,0
wukong,5,0,0,0,0
xayah,0,0,0,5,0
xerath,0,0,5,0,0
xinzhao,0,5,0,0,0
yasuo,0,0,5,0,0
yone,0,0,5,0,0
yorick,5,0,0,0,0
yunara,0,0,0,5,0
yuumi,0,0,0,0,5
zaahen,5,0,0,0,0
zac,5,0,0,0,0
zed,0,0,5,0,0
zeri,0,0,0,5,0
ziggs,0,0,5,0,0
zilean,0,0,0,0,5
zoe,0,0,5,0,0
zyra,0,4,0,0,5
